Time,Quantidade
Santos,161
Flamengo,114
Vasco,48
Corinthians,36
Botafogo,27
Cruzeiro,20
Fluminense,20
Internacional,19
São Paulo,19
Palmeiras,15
Grêmio,11
Atlético Mineiro,3
