Time,Nome,Usuario,Texto,Data,topicos,Stop words
Santos,ダン,@Dan_DBLM,"seleção brasileira/real madrid bem melhor time santos. time santos levando sufoco contra último colocado, tomou 2 gols contra time tinha feito 3 campeonato todo",2026-03-26 18:56:33,,"e, a, é, que, o, do, do, o, um, que, no"
Botafogo,Marc,@marc2050979,cara não nenhuma vergonha botafogo?,2026-03-26 18:56:33,,"tu, tem, de, ser"
Fluminense,reis,@crf_reix,convoca fluminense vai dar certo kkkkk,2026-03-26 18:56:33,,"do, que"
Santos,jotace #ForaCeni,@ecbjul7c,achamos novo lucas vasquez: douglas santos. não faz mínimo sentido bagre ainda cogitado entre os 11 extremamente ruim,2026-03-26 18:56:33,,"o, o, esse, ser"
Corinthians,Gilson Evangelista,@GilsonEvangel13,"corinthians não consegue formar atacante vide centroavante gui negão, horror",2026-03-26 18:56:33,,"um, na, o, um"
Flamengo,BotafogoES,@BotafogoTriste1,aj foda puta certeza coloca pau tesão ganhar lema cara coragem vai sucesso coloca time trilhos. vcs vão brigar c flamengo palmeiras pelos títulos ano estarei torcendo juntos,2026-03-26 18:56:33,,"é, tem, um, o, na, em, do, é, ser, ele, o, nos, e, do, por"
Vasco,Xandy ᶜʳᶠ,@xandy_freitas93,mauro sempre respeitou muito vasco sua história. falou fato. existe conflito interesses pq seria família comando dois clubes.,2026-03-26 18:56:33,,"o, e, o, que, ele, é, um, um, de, uma, no, de"
Santos,farpador Reverso ©®,@FarpadorReverso,douglas santos não wesley não léo pereira não bremmer não ederson virou perninha? entregando paçoca tempo todo os caras parecem jogam 50kg pernas lentos lentos lentos raphinha está assombrado???? alguém pode jogar junto vini???? fica fase gp,2026-03-26 18:56:33,,"a, o, que, com, nas, do, na, de"
Flamengo,Tobi,@TobiUtirra,6 copas qual mais relevante realmente impactante? pq 96 campanha melhor jogando igual ao cruzeiro contra times mt melhores. gremio 17 ganhou libertadores mais fraca historia flamengo tinha muralha kkkkkk,2026-03-26 18:56:33,,"das, a, e, a, de, foi, com, uma, e, e, de, a, da, e, o, o"
São Paulo,Folha de S.Paulo,@folha,stf condena governo são paulo indenizar caseiro preso injustamente sete anos,2026-03-26 18:56:33,,"de, a, por"
Fluminense,Grok,@grok,"condomínio residencial bairro cabuçu, nova iguaçu (baixada fluminense, rj). estava dominado pela milícia juninho varão, extorquia moradores cobranças ilegais. pcerj desarticulou base deles hoje, prendeu envolvidos (incluindo gerente financeira)",2026-03-26 18:56:33,,"é, um, no, de, de, que, com, a, a, a, e"
Santos,fora cuca,@dafafesi,acabou síndrome impostor. douglas santos jogador futebol pq n posso bom minha profissão?,2026-03-26 18:56:33,,"a, do, se, o, é, de, eu, ser, na"
Corinthians,𝑹𝒂𝒊𝒂𝒏𝒆,@Annizinha1910,moral prefiro assistir corinthians jogar seleção.,2026-03-26 18:56:33,,"na, o, do, que, a"
Flamengo,Mengão CRF,@Flamengo311813,"sacanagem, flamengo q contratar atacante q seja veloz faça gols, plata não sabe fazer gols",2026-03-26 18:56:33,,"tá, de, tem, um, e"
Corinthians,.,@taboosgs_18,cara foge jogo contra corinthians vai jogar contra frança sim,2026-03-26 18:56:33,,"o, que, de, um, um"
Santos,Gagashi?ˢᶠᶜ,@sfcgagashi,rony melhor santos vini hoje,2026-03-26 18:56:33,,"o, tá, no, que, o"
Botafogo,Guiwill,@GuiUrban7,incrivel como jogador passa pelo botafogo nao sente peso nenhum camisa seleção,2026-03-26 18:56:33,,"é, que, da, da"
Santos,Bruno,@Brunodiiias08,"vinicius, raphinha, martinelli, andrey, wesley douglas santos não podem jogar pela seleção, são ruins, são limitadíssimos não vão ajudar nada!",2026-03-26 18:56:33,,"e, eles, eles, e, em"
Botafogo,SY,@CarlosA70756635,"luis henrique joga direita ou esquerda craque absoluto ,tomara seja vendido premier league ídolo botafogo",2026-03-26 18:56:33,,"na, que"
Internacional,Maria Cristina Silva,@mccristina1962,brasil vergonha internacional.,2026-03-26 18:56:33,,"o, é, uma"
Santos,JuJu,@Jujuuej,"sim, vamos ter interações &team santos bravos! felicidade me resume.",2026-03-26 18:56:33,,"do, com, o"
Flamengo,Di Mauro,@andredimauro,"tirem tecnico gringo botem brasileiro temos otimos jogadores dai so salva jogadores flamengo leo pereira, danilo alex sandro, ate goleiro sub-20 melhor esta porcaria colocaram ai temos pedro pq nao escalou ele?",2026-03-26 18:56:33,,"esse, um, do, e, o, do, do, que, que, no, o"
