Time,Nome,Usuario,Tempo,Texto
Fluminense,guimarãess,@guimaffc,5s,"tu merece o fluminense fudido de 2019, 2009, 2017, 2018, 2024"
Flamengo,𐙚 jessi • arirang,@yoonbg7,7s,"flamengo 20h e comeback arirang 01hr, army flamenguista hoje tá soltando fogos!!!"
Flamengo,CFD - Futebol e Fantasies,@CFD_Oficial,7s,"#Flamengo: Rossi; Emerson Royal, Léo Ortiz, Léo Pereira e Alex Sandro; Pulgar, Jorginho e Arrascaeta; Luiz Araújo, Samuel Lino e Pedro.

#Remo: Marcelo Rangel; Marcelinho, Marllon, Tchamba e Kayky Almeida; Picco, Zé Ricardo, Patrick de Paula e Vitor Bueno; Jajá e Alef Manga."
Flamengo,DECO SRN,@Deco_SRN,10s,Flamengo e Remo Escalados! 
Flamengo,Deivede,@Deivede73,13s,"indo ver flamengo e remo porque eu nunca vou saber quando vou poder ver um jogo do remo de novo

e por que o hino do remo é bonito

e por que eu quero arranjar uma camisa do remo  

e porque se foda o flamengo vou torcer pro remo

brincadeira

bora flamengo do leo jardim"
Flamengo,Cadu Azevedo,@caduazvdo,13s,A CBF quer salvar o Flamengo da LIBRA
Grêmio,Central Cartola,@central_cartola,14s," BRASILEIRÃO - 7ª RODADA:

 BOLA ROLANDO 

Grêmio 0x0 Vitória"
Grêmio,Felippe Garcia,@Garcia_Itaipu,1m,Que camisa horrenda do Grêmio.
Grêmio,Iago Ferreira,@arquiteto_iago,1m,Começou! Grêmio e Vitória estão em campo.
Flamengo,Sankin,@SankinBR,1m,"novos investimentos ou nao n impede em nada dividir igualmente os lucros atuais e de novo sua jamanta animal, flamengo n vai ganhar o msm q o fluminense ou q o remo, flamengo vai ganhar mais, só n vai ganhar 15 x mais"
Flamengo,AdoniasRdeCNeto,@AdoniasRdeCNeto,1m,"O Palmeiras tem que ligar no SAC da CBF. Comprou o campeonato e entregaram foi pro Flamengo, segundo a sua teoria."
Fluminense,Anderson,@andrssonaraujjo,1m,"O Fluminense conseguiu tomar gol do Victor Luís, isso resume muito o que é o clássico"
Grêmio,Luiz Filipe Macedo,@lzfmacedo,1m,"Entendo a importância financeira, mas podia ter uma diretriz proibindo patrocínio master pra poder deixar a frente das camisas de futebol bem lisinhas 

Essa do Grêmio hoje sem patrocínio master tá um espetáculo"
Flamengo,Ponci,@vitor_ponciano,1m,"Po Cara de vdd 5 jogos no Maracanã no mês 
Se você n for sócio e pagar 1/2  
Vasco - R$ 50
Flamengo - R$ 60
Athletico - R$ 45
Vasco - R$ 60
Atlético mg - R$ 45
Total - R$ 260
Se for de inteiras  R$ 520
Se for sócio 160 do sócio + 60 vs Vasco
220
Só de ingresso
Fica foda pro clt"
Flamengo,TETRACAMPEÃO,@brunoestevaocrf,1m,esses times mais modestos adoram dar a vida contra a gente pra vender caro a derrota e dps abrem as pernas pros outros adversários kkk é foda ser o Flamengo. mas vamos vencer
Flamengo,alicia ᶜʳᶠ,@clickd99,1m,"muito isso, vei, não sei se o flamengo aguenta"
Corinthians,Fiel Cartoon • Comissões Abertas •,@FielCartoon,1m,"DAQUI A POUCO TEM CORINTHIANS EM CAMPO!! 

 Chapecoense x Corinthians
 Campeonato Brasileiro - 7ª rodada
 21h30 
 Arena Condá
 Amazon Prime Video 

#VaiCorinthians"
Flamengo,@CRF News,@CRFNews1895,1m,"NOSSO TIME É A GENTE EM CAMPO! Confira a #escalação do Flamengo para enfrentar o Remo, pelo Brasileirão! 

#FLAxREM"
Vasco,GIOVANE DOS SANTOS,@Giovane170,1m,"É só eu que estou vendo isso ou vocês também?? 

Vários Flamenguistas fazendo vídeos falando bem da torcida do Vasco kkkkkkkkk eles quer ganhar engajamentos 

Mas está tranquilo a torcida do Vasco é braba mesmo "
Corinthians,A.netinha REVOLTADA,@AnnetteCarvalh4,1m,"Deus, pfv Deus faça o Corinthians ganhar e o cumeiras se f0der sempre"
Grêmio,Rafael Targanski,@RTarganski,1m,Não parece que é a camisa do Grêmio e de longe sequer parece ser tricolor. É um crime o que o clube deixou a New Balance fazer
Cruzeiro,ϟ,@sexccism,1m,"Salve o dono do cruzeiro! Saravá, Seu Tiriri."
Palmeiras,PLACAR,@placar,1m,"É CLÁSSICO!

São Paulo e Palmeiras trocam farpas antes de clássico pelo Brasileirão"
Grêmio,Grêmio News,@canalgremionews,1m,Grêmio confirma a promoção de cinco jovens ao elenco principal
Flamengo,Marquinhos Assunçãoᶜʳᶠ,@MarquinhosAssu2,1m,"ARBITRAGEM DEFINIDA ! A comissão de Arbitragem da CBF, confirmou o nome do árbitro Pernambucano RODRIGO JOSÉ PEREIRA DE LIMA para comandar Corinthians x Flamengo, domingo, 20:30 horas na Neo Química Arena."
Flamengo,Bruno Lemos,@Lemos_Santos,1m,"Flamengo Confirmado e Escalado com Luiz Araújo entre os titulares.

Samuel Lino pela segunda vez consecutiva como titular. 

Pedro também segue mantido entre os titulares pela quarta partida entres os tirantes na Era Jardim.

Paquetá começará como opção no banco de reservas."
Flamengo,José Tomás Fernández Pumarino,@fernandez_puma,2m,"Formación confirmada de #Flamengo 

Agustín Rossi (); Emerson Royal, Léo Ortiz, Leo Pereira, Alex Sandro; Erick Pulgar (), Jorginho (); Giorgian de Arrascaeta (); Luiz Araújo, Pedro Guilherme y Samuel Lino.

DT: Leonardo Jardim ()."
São Paulo,Antonio Morgado,@Antonio04454934,2m,Racista fdp é nessas merdas que São Paulo vota bolsonaristas golpista covarde
Santos,Cezar Mateos,@CezarMateo21649,2m,Só lembrando que ninguém queria assumir o Santos após a saída do Kleber Xavier.
Santos,victorbrreto.,@barreto_v99,2m,"porra , santos vai ser eliminado pelo athletic "
Corinthians,Felippe SFC,@Felippe_x0,2m,"Tu ainda tá chorando fdp? Vai torcer pro Corinthians doente, parece criança mimada"
