Time,negativo,neutro,positivo
Corinthians,2,1,0
Cruzeiro,0,1,0
Flamengo,0,4,0
Fluminense,0,1,0
Grêmio,0,0,1
Internacional,0,1,0
Palmeiras,1,0,1
Santos,2,1,0
Vasco,5,0,0
