Time,Quantidade
Vasco,53
Santos,37
São Paulo,34
Internacional,27
Flamengo,23
Corinthians,17
Palmeiras,11
Cruzeiro,10
Botafogo,9
Grêmio,8
Fluminense,2
Atlético Mineiro,2
