Time,Nome,Usuario,Tempo,Texto
Flamengo,Debinha,@korranony,3s,"Vou perder o jogo do Flamengo mesmo, vou estar na estrada, chegando em Uauá não vai dar tempo,  etc"
São Paulo,fernando mortari,@fernandohubne11,3s,Lembro de quando fui ao Brasil são Paulo lá  em julho de 2009 tomei um sorvete da Kibon de limão feito com uma receita da Europa maravilhosa lembro até hoje o gosto  lembro  até hoje
Cruzeiro,Nação Azul News,@NacaoAzulNews,3s,"Existe o entendimento que o elenco do Cruzeiro precisa de reforços, mas isso só deve ocorrer na janela de transferências do meio do ano, devido a janela nacional estar quase fechada.

 
@samuelvenancio"
Corinthians,Mala Oficial,@prmalaoficial,4s,"Sinceramente, alguém acha que é razoável esse tipo de conversa em um grupo do núcleo de estudos do Corinthians?
 
Lamentável, mas o único assunto desse pessoal é bater nos outros."
Santos,Noite de Galo,@noitedegalo_,18s,"A sessão está marcada para a próxima terça-feira (24/3), a partir das 19h, na Região Centro-Sul da capital mineira.

O processo é extenso e cita 13 atletas da Raposa e 12 do Galo, além de ambos os clubes e do massagista atleticano, Aluizio Carlos dos Santos."
São Paulo,quem dera,@jasoucancelado,47s,Queridos este fim de semana NÃO CHOVE EM SÃO PAULO! Vivam!!
Grêmio,HIGOR,@Fute_RS,48s,Me julguem mas eu gostei do uniforme novo do Grêmio
Palmeiras,Jovem Lobo,@Jaehaerystan,51s,"Uau. Tenho certeza que os torcedores do Inter, Palmeiras e quem mais tivesse disputando o título choram do mesmo jeito. Com as mesmas lágrimas.

Não falou nada de 2020...

E outra, tu acha mesmo que o São Paulo não teve 1 único erro de arbitragem nesse tricampeonato? Pqp"
Santos,PELÉ o maior jogador da história O Rei do Futebol,@santista1963,54s,"Esse clube é uma desgraça, eu odeio demais o Santos, desejo tudo de ruim pra essa merda de clube, que seja rebaixado denovo e nunca mais volte pra Série A, o lugar desse timeco pequeno e insignificante é na Série B, anunciaram um estuprador, larguei de mão, que se foda o Santos."
Santos,Visão Pátria,@PatriaVisao,56s,"Poderia também, 
@Felcca
, dizer por que você tinha, AINDA NO PERÍODO DO EXPOSED que você deu no Hytalo Santos, ESSE POST EM SEU PERFIL (que você só apagou quando 
@schmittpaula
 questionou)?"
Corinthians,𝕵𝖊𝖋𝖋𝖊𝖗𝖘𝖔𝖓 𝕲𝖆𝖇𝖗𝖎𝖊𝖑 ˢᶜᶜᵖ,@sccpjeffx,59s,CORINTHIANS
Vasco,;leachiim,@mikeawful,59s,"Mas gols contra adversários fracos....e contra adversários fracos, ele não tá jogando nada. Contra Vasco ele não foi bem, apesar dos gols. Então é só número de Gols que credencia?

Essa é a justificativa?

Estatística para levar para seleção?"
Palmeiras,Thiago Schönhof,@tschinoff,59s,"Tem outra paternidade também: 
Inter: 38
Palmeiras: 30
Empates: 26"
Vasco,advocacia underground,@pedroomaizena,59s,Tem que parar de jogar contra o Vasco. Tomar de w.o é menos feio. Seus minúsCulos!
Flamengo,DiegoLopes,@DiegoLo613,1m,Acredito em vc . Maju.  Os times que jogam contra o Flamengo dão a vida.  Contra o Corinthians não será fácil mas o Flamengo ganha de 3 a 1
Flamengo,Área dos LINKS,@AreaDosLiinks,1m,"Rapaziada, pq tão colocando o Remo como Sub 10 e o Flamengo como Bayern? Flamengo tava horrível até ontem"
Palmeiras,.,@gutibonett,1m,"Palmeiras 
Estudiante 
Junior 
Barcelona"
Grêmio,Bersano,@BrunoBersa29907,1m,Isso me lembra que o Grêmio tava tomando 3 do AMÉRICA e o Suarez foi lá e virou o jogo gols dois gols e uma assistência
Palmeiras,Érich Ribeiro,@oerichribeiro,1m,"Não quero que vença o melhor, vencendo na bola. 
Quero ganhar do Palmeiras ROUBADO. Tipo um escândalo maior que do Ramon Abate Abel"
Santos,SFC 1912,@NenoSantos39265,1m,"Bando de modinha,dps o Santos começa ganhar títulos dnv,vai querer vira sócia ou socio dnv"
Internacional,Nath,@nathaliaaques,1m,o 1% de pop internacional sou eu ouvindo minha playlist de pop da adolescência todos os dias até hoje
Santos,Estrogonoff,@Pestekkkkj,1m,O cara simplesmente previu a maior imundice feita pelo santos
