Time,Nome,Usuario,Texto,Data,topicos,Stop words,Texto_normalizado
São Paulo,Antonio Morgado,@Antonio04454934,racista fdp nessas merdas são paulo vota bolsonaristas golpista covarde,2026-03-19 19:01:37,,"é, que",racista fdp nessas merdas são paulo vota bolsonaristas golpista covarde
Santos,Cezar Mateos,@CezarMateo21649,só lembrando ninguém queria assumir santos após saída kleber xavier.,2026-03-19 19:01:37,,"que, o, a, do",só lembrando ninguém queria assumir santos após saída kleber xavier.
Santos,victorbrreto.,@barreto_v99,"porra , santos vai eliminado pelo athletic",2026-03-19 19:01:37,,ser,"porra , santos vai eliminado pelo athletic"
Corinthians,Felippe SFC,@Felippe_x0,"ainda chorando fdp? vai torcer pro corinthians doente, parece criança mimada",2026-03-19 19:01:37,,"tu, tá","ainda chorando fdp? vai torcer para o corinthians doente, parece criança mimada"
Palmeiras,Statham Cabeludo,@JasonCabeludo,todos fazem. mas palmeiras faz muuuuuuito mais… desde as entrevistas abel até “protocolo weverton” time grito,2026-03-19 19:01:37,,"o, do, o, é, o, do",todos fazem. mas palmeiras faz muuuuuuito mais… desde as entrevistas abel até “protocolo weverton” time grito
Grêmio,Thiago Schönhof,@tschinoff,coisa horrível fonte dourada camisa grêmio,2026-03-19 19:01:37,,"que, essa, da, do",coisa horrível fonte dourada camisa grêmio
Santos,NPOMV | Zine,@npomvtt,"faz tudo! kauê penna (santos bravos) comentou cover jaehyun (boynextdoor) postou ""menina vermelho"". ""incrível brother, muito bom poder te ajudar pronúncia orgulho"".",2026-03-19 19:01:37,,"ele, no, que, de, de, com, a, que","faz tudo! kauê penna (santos bravos) comentou cover jaehyun (boynextdoor) postou ""menina vermelho"". ""incrível brother, muito bom poder te ajudar pronúncia orgulho""."
São Paulo,pie roan ⋆,@jaovampire,"ingresso pra mim dia 21/03 uni? moro são paulo, tenho roupa mas não tenho ingresso",2026-03-19 19:01:37,,"um, no, em, a, o","ingresso para mim dia 21/03 uni? moro são paulo, tenho roupa mas não tenho ingresso"
Palmeiras,Hugo Bertovi,@HBertovi,"opção mais provável, roubo favor palmeiras",2026-03-19 19:01:37,,"tem, a, a, do","opção mais provável, roubo favor palmeiras"
Flamengo,versão masculina da Lolly Vômito,@sportstanx,os times mais ladrões mund dps flamengo,2026-03-19 19:01:37,,"do, do",os times mais ladrões mund dps flamengo
Santos,gurgel,@orenangurgel,meu sonho afilhado hytalo santos,2026-03-19 19:01:37,,"ser, do",meu sonho afilhado hytalo santos
Santos,É O TUBAS #SAFnoSantos,@Santao1912,"hora almoço pensando como seria vida santos tivesse presidente ama clube, trabalhe brigar títulos voltar crescer",2026-03-19 19:01:37,,"eu, na, do, em, a, se, o, um, que, o, que, para, ele, por, e, a","hora almoço pensando como seria vida santos tivesse presidente ama clube, trabalhe brigar títulos voltar crescer"
Grêmio,João,@joaoandrade42,maldição todo jogo grêmio narrado pelo dan dan,2026-03-19 19:01:37,,"que, é, essa, que, do, é",maldição todo jogo grêmio narrado pelo dan dan
