Time,Quantidade
Flamengo,181
São Paulo,72
Corinthians,71
Palmeiras,65
Santos,56
Vasco,50
Botafogo,42
Cruzeiro,39
Grêmio,28
Fluminense,24
Internacional,21
Atlético Mineiro,2
