Time,Nome,Usuario,Tempo,Texto,Coletado_em,Texto_normalizado
Botafogo,♔ Fogo neles ♔,@H_lucyan,6 s,"Grandes coisas eliminado, no próximo jogo tomaram no cu.

Falando de Textor, que nem no Botafogo tá, descansa e se tá duro, dorme ",2026-06-14 21:03:00,"Grandes coisas eliminado, no próximo jogo tomaram no cu. Falando de Textor, que nem no Botafogo tá, descansa e se tá duro, dorme"
Corinthians,Bill Oliveira,@billoliveirams,7 s,"Os 2 laterais do Corinthians são muito melhores que os 3 laterais convocados.

Gustavo Henrique hj BEM melhor que o Leo Pereira.

Breno Bidon hj pratica um nivel de futebol que o Paqueta talvez nunca volte a jogar. 

Ontem li que dos 11 titulares, 7 sao do mesmo empresário. ",2026-06-14 21:03:00,"Os 2 laterais do Corinthians são muito melhores que os 3 laterais convocados. Gustavo Henrique hj BEM melhor que o Leo Pereira. Breno Bidon hj pratica um nivel de futebol que o Paqueta talvez nunca volte a jogar. Ontem li que dos 11 titulares, 7 sao do mesmo empresário."
Vasco,Igor,@IgorBrazao,9 s,"Não faz o menor sentido o que ele diz! Se tivesse culhão diria que o enteado seria o ""laranja"" da leila no Vasco.

Só que não existe nenhum impedimento, tampouco fraude na relação para o cara ser um sócio oculto.

O Palmeiras é SAF?",2026-06-14 21:03:00,"Não faz o menor sentido o que ele diz! Se tivesse culhão diria que o enteado seria o ""laranja"" da leila no Vasco. Só que não existe nenhum impedimento, tampouco fraude na relação para o cara ser um sócio oculto. O Palmeiras é SAF?"
Vasco,Priscila88,@Priscila8828,13 s,Kkkkkkk que cara mais patético. Ele terá pesadelos quando o Vasco for vendido. Mal posso esperar a depressão q esse ser terá ,2026-06-14 21:03:00,Kkkkkkk que cara mais patético. Ele terá pesadelos quando o Vasco for vendido. Mal posso esperar a depressão que esse ser terá
Botafogo,-,@_mfinck_,14 s,"Tirando o fato de que salva sempre a seleção, foi só um dos responsáveis por aquela humilhação que o Botafogo sofreu em pleno Engenhão por 4x3 de virada",2026-06-14 21:03:00,"Tirando o fato de que salva sempre a seleção, foi só um dos responsáveis por aquela humilhação que o Botafogo sofreu em pleno Engenhão por 4x3 de virada"
Corinthians,juli ★,@lecsainz1,18 s,passando mal que tem mais coisa do corinthians do que do próprio timekkkkkk a semi da copa do brasil estragou a cabeça do cara,2026-06-14 21:03:00,passando mal que tem mais coisa do corinthians do que do próprio timekkkkkk a semi da copa do brasil estragou a cabeça do cara
Fluminense,NETFLU,@NETFLU,22 s,"Fluminense é o último time a derrotar Bounou, goleiro de Marrocos e Al-Hilal",2026-06-14 21:03:00,"Fluminense é o último time a derrotar Bounou, goleiro de Marrocos e Al-Hilal"
Vasco,TINHA DE SER VIADO |,@tinhadserviado,22 s,"Isso não tem absolutamente nada a ver com a “nova geração “. 
É só uma mãe estúpida, que como um cachorro adestrado, ensina seu filho jogar algo no lixo.
Poderia ser a bandeira dos EUA, do VASCO, mas no caso, foi a bandeira do Orgulho.
Ela precisa se preocupar, é nessas famílias",2026-06-14 21:03:00,"Isso não tem absolutamente nada a ver com a “nova geração “. É só uma mãe estúpida, que como um cachorro adestrado, ensina seu filho jogar algo no lixo. Poderia ser a bandeira dos EUA, do VASCO, mas no caso, foi a bandeira do Orgulho. Ela precisa se preocupar, é nessas famílias"
Palmeiras,guylherme,@santclair_,29 s,Palmeiras ta aliciando msm clube sem ética nenhuma,2026-06-14 21:03:04,Palmeiras ta aliciando mesmo clube sem ética nenhuma
Vasco,Dimas Miranda,@DimasMiranda14,33 s,"Preocupado com o quê? Kkkk

Vasco teve um período de glória curtíssimo há 25 anos. Mais nada. 

Metem medo em quem? 

5 rebaixamentos, 10 anos sem carioquinha, 15 sem título nacional, quase 30 sem internacional. 

Acorda para realidade.",2026-06-14 21:03:04,"Preocupado com o quê? Kkkk Vasco teve um período de glória curtíssimo há 25 anos. Mais nada. Metem medo em quem? 5 rebaixamentos, 10 anos sem carioquinha, 15 sem título nacional, quase 30 sem internacional. Acorda para realidade."
Flamengo,CRF _,@Roberto_Souzaaa,35 s,Mais o problema da seleção vai ser sempre um jogador do Flamengo,2026-06-14 21:03:04,Mais o problema da seleção vai ser sempre um jogador do Flamengo
Palmeiras,igu,@igucba,39 s,"Postou a estreia dos 2 citados. Só olhar lá. Domingo a noite e vc preocupado com o Palmeiras kkk. Se for bostafoguense, seu time tá falido. Se for flamerdista, tá preocupado demais com o jogador do palmeiras ou do bostafogo.",2026-06-14 21:03:04,"Postou a estreia dos 2 citados. Só olhar lá. Domingo a noite e voce preocupado com o Palmeiras kkk. Se for bostafoguense, seu time tá falido. Se for flamerdista, tá preocupado demais com o jogador do palmeiras ou do bostafogo."
Corinthians,Tiago,@DonaNevez,43 s,"O Memphis joga no Corinthians, mas o Corinthians foi campeão mundial no Japão, eai?",2026-06-14 21:03:04,"O Memphis joga no Corinthians, mas o Corinthians foi campeão mundial no Japão, eai?"
São Paulo,アレックス ˢᵖᶠᶜ,@alexsantoslima0,44 s,Olho nele porque? Pro São Paulo ele não vai vir,2026-06-14 21:03:04,Olho nele porque? Para o São Paulo ele não vai vir
Palmeiras,Michel Costa,@MichelCosta_,50 s,"A base do Palmeiras tem trabalhado no sentido contrário em matéria de formação, trazendo os talentos de volta pro meio, mas quando chega no time principal o Abel não ajuda muito.",2026-06-14 21:03:04,"A base do Palmeiras tem trabalhado no sentido contrário em matéria de formação, trazendo os talentos de volta para o meio, mas quando chega no time principal o Abel não ajuda muito."
Flamengo,Bruno Henrique,@Brunoenri1,51 s,"Parabéns pelo troféu ganhou do finalista! Kkkkk!!! Finalista esse que foi o campeão, enquanto o Flamengo foi AMASSADO pelo Bayern logo nas oitavas! KAKAKAKAKA!!! E o Fluminense colocou quem mesmo na roda? Pois foi o que tomou taca do Chelsea! Kkkk!",2026-06-14 21:03:04,"Parabéns pelo troféu ganhou do finalista! Kkkkk!!! Finalista esse que foi o campeão, enquanto o Flamengo foi AMASSADO pelo Bayern logo nas oitavas! KAKAKAKAKA!!! E o Fluminense colocou quem mesmo na roda? Pois foi o que tomou taca do Chelsea! Kkkk!"
Vasco,Denis,@Denissaantoss,1 min,Quero saber quem do Vasco comeu a mulher do Bap.,2026-06-14 21:03:04,Quero saber quem do Vasco comeu a mulher do Bap.
Fluminense,◤✠◢Jacó-Vas-RJ◤✠◢,@Jaco_Stefany,1 min,"Mano, se um dia teu time ser vice do meu como foi para o Fluminense em algum tempinho atrás, tu se joga da ponte Rio-Niterói. Num mete essa! ",2026-06-14 21:03:09,"Mano, se um dia teu time ser vice do meu como foi para o Fluminense em algum tempinho atrás, tu se joga da ponte Rio-Niterói. Num mete essa!"
Botafogo,Mateus Fernandes,@MateusF91693,1 min,"O otário acha mesmo que o nanico botafogo tem escolha de pra quem tem que vender kkkkkk teu timinho tá falido pô, tá vendendo almoço pra comprar a janta, tá com 6 transfer ban, não tá disputando nenhum título importante pq já foi eliminado, ou seja? Tá completamente fudido.",2026-06-14 21:03:09,"O otário acha mesmo que o nanico botafogo tem escolha de para quem tem que vender kkkkkk teu timinho tá falido pô, tá vendendo almoço para comprar a janta, tá com 6 transfer ban, não tá disputando nenhum título importante porque já foi eliminado, ou seja? Tá completamente fudido."
Vasco,FORA ABEL,@EtoreTebom,1 min,"Ele nasceu em 1997…

Como pode ser uma homenagem ao Juninho Pernambucano? Nessa época ele jogava no VASCO…",2026-06-14 21:03:09,Ele nasceu em 1997… Como pode ser uma homenagem ao Juninho Pernambucano? Nessa época ele jogava no VASCO…
