Time,negativo,neutro,positivo
Atlético Mineiro,1,0,0
Corinthians,1,1,0
Cruzeiro,1,1,1
Grêmio,1,0,0
Internacional,1,0,1
Palmeiras,1,0,1
Santos,0,2,1
São Paulo,0,2,0
Vasco,3,2,0
