Time,Nome,Usuario,Tempo,Texto
Fluminense,LucasCRVG,@Serenocrvg,4s,"“ Se o Vasco jogasse no Maracanã todo jogo ,teria a mesma média de ingressos do Fluminense.” 

Isso é de uma idiotice colossal !!!!

1º o Vasco só não tem mais sócios pq São Januário só cabe 20 mil. Se os jogos fossem no Maracanã esse número de associados seria muito maior e isso"
Flamengo,arisu ¹⁴,@paranoidcrf,7s,Arame liso essa defesa do flamengo
Flamengo,Jade,@jadesferrazz,8s,Uai Flamengo tomando apavoro do REMO kkkkkkkkkk
Flamengo,Laert,@Could_66,9s,"Marcação do Flamengo ta dormindo, tnc

Acorda porra"
Flamengo,𝓷,@johnnykavnagh,9s,foi o flamengo ter folga que ta morto em campo
Flamengo,Leandro Souza,@Leolegioen,10s,O time do Flamengo está jogando com um sapato alto absurdo . #VamosFlamengo #CRF  #Flamengo #colunadofla
Corinthians,Puyol da Lusa,@A2puyol,11s,"Tomara que alguém leve embora, jogador pipoqueiro.  Perdeu 3 gols contra o Corinthians e na eliminação da Copa do Brasil foi displicente. E o Bertinato apagou até rede social, estranho."
Corinthians,🆂🅷🅸 16/45,@SPFCamorinfinit,13s,Isso me lembrou da menina que teve relação com um jogador da base do Corinthians e faleceu disso
Flamengo,@su_moraess,·,,"Quando o Flamengo depende só dele, já sabem né kkkkkkkk"
Flamengo,.,@becartierr,14s,Não foi isso que demostrou os áudios vazados após a derrota contra o Flamengo kkkkkkkk
Flamengo,aninha ᶜʳᶠ,@anaaflxz,15s,"flamengo com todo respeito, vai se ferrar"
Flamengo,Mani,@manucemolin,16s,vsf não consigo assistir o jogo do Flamengo
Fluminense,Léo,@santtLeo,16s,Torcida do remo botou mais gente no Maracanã do que a torcida do fluminense no clássico
Flamengo,Japoneguinha,@eutamires27,21s,Flamengo sofrendo com Remo KKKKkk
Corinthians,fe,@kyaandaddy,22s,alguem me fala um app do iphone q da pra ver o jogo do corinthians de graça plmds #corinthians
Flamengo,@rennanevangelista,@1989rennan,22s,Luiz araujo nao tem nivel de flamengo! E ele acha que é craque! So é esforçado e bem burro tb
Botafogo,SaiyanCarp,@saiyancarp,24s,"Cienciano 
Boston river
Botafogo"
Santos,Impricante,@Implicante9,25s,Na última passagem dele pelo clube o Santos foi finalista da Libertadores e ficou bem classificado no Brasileirão com um time que só tinha Marinho como destaque. Tá pouco ou você só quer lacrar mesmo?
Flamengo,ColossoTetra-Eneaᶜʳᶠ,@aldineisalim2,26s,q porra é essa? Bora acordar Flamengo!
Flamengo,ؘ,@fayemengo,27s,o flamengo tomando apavoro do remo vai tomar no cu
Flamengo,yas.,@yascastte,28s,hm flamengo.
Flamengo,vitão,@V1ct0r_CRF,29s,q porra de marcação é essa do flamengo
Flamengo,Agostinho do agreste,@FMLM21,32s,Flamengo tem que se livrar do Luiz Araújo.
Flamengo,bruna,@badthirlwalls,36s,sentindo que o flamengo vai passar vergonha
Fluminense,JH,@_joaohector,36s,"Parabéns ao jogadores do botafogo que tiveram essa postura aí. Na colônia de férias do Fluminense teve fila pra abraçar o outro vagabundo lá. Pq pra eles o clube tá sempre em segundo plano, o importante são as amizades. Bando de frouxo do caralho"
Flamengo,Torcedor roxo,@torcedor_roxo,36s,"@Flamengo
 tem colocar Everton Araújo e dela Cruz!"
São Paulo,fabs VAI VER A CHAPPELL!,@pinkponylouis,37s,a qualquer momento são paulo vai ficar com mais uma pessoa lesbica em seu território!
Flamengo,M. Castro,@Manoel77Crf,37s,A marcação do Flamengo ta uma VERGONHA!!!!!!!
Flamengo,Rebs :),@Offdab_,37s,Flamengo precisa urgentemente ter dois volantes jovens
Vasco,5,@87ramiroNL,38s,"River
Vasco
Audax
Botafogo"
Flamengo,Leo,@leonevescruz,38s,"Amigo, procura no YouTube: São Paulo 2x2 Flamengo, final da Supercopa de 1993, e Corinthians 2x2 Flamengo pelo Campeonato Brasileiro de 1993. Assiste a esses jogos que você vai ver: nenhum jogo do futebol atual chega perto deles."
Flamengo,enya ᶜʳᶠ,@mithrwndir,39s,flamengo vai acordar que horas?
Flamengo,Everton Luan,@EvertonLuan18,39s,MDS QUE PORRA DE MARCAÇÃO É ESSA DO FLAMENGO INACREDITÁVEL
Botafogo,fabregas ★彡,@FabrcioVieiraa,40s,"até o remo é mais organizado que essa merda de botafogo, q fase"
Flamengo,Liliana Soares Angelim OTO,@lilianasoares,40s,"Cara eu não sei pra que vcs 
@globoplay
 colocam os jogos do Flamengo pelo premier. O jogo inteiro com deley. É horrível, todo ano é assim."
Flamengo,Trick Fla da Depressão,@trickfladadepre,40s,Todo jogo do Alef Manga contra o Flamengo ele vira o Bruno Henrique de 2019
Flamengo,Bambina di Fiori,@mooniquercm,40s,Não sabia que o Flamengo ia com o sub 20 hoje
Flamengo,Leo C4mpello xᶜᵃᵐᵖᵉᵃᵒ,@LeoCampello3,40s,Flamengo tá dando espaço demais pqp.
Corinthians,Bianca Molina,@biimolina,42s,"Pode ser, acho que tu tens um ponto. Até falei em um vídeo meu que o fato do Lingard não estar 100% fisicamente e não ter um jogo decisivo pela frente (um mata-mata, final, etc) ou algo que justificasse a urgência, fez com que o Corinthians não fizesse uma operação de guerra pra"
Flamengo,Lss,@luuquuinhass,42s,"Tá em aberto o jogo da Roma, seleção de finalizações do Bologna, aí n está aparecendo, pior q falta só uma finalização e depois amarrar o Flamengo"
Flamengo,EDITZA,@editza_crf,43s,Flamengo do mister jardim é encantador
Flamengo,valente,@goatzmessi,48s,e que horas o Flamengo entra em campo?? só pra saber mesmo
Vasco,Leonardo Rezende,@leorezendeadv,48s,"Foi incrível! Já era possível ter a virada como certa antes mesmo do segundo gol! A torcida entrou no jogo aos 10 do segundo tempo, e levou os 3 pontos pra casa! Time do Vasco simplesmente em transe! Que energia dos Vascaínos, de longe, a torcida mais poderosa do Brasil."
Flamengo,Fernando ᶜʳᶠ ¹⁸⁹⁵,@carica_0074,49s,"Vtnc 
@Flamengo
 ,tomando sufoco do Remo? Não fode"
