Time,Quantidade
Flamengo,218
Santos,38
São Paulo,38
Corinthians,34
Grêmio,30
Vasco,25
Cruzeiro,25
Fluminense,23
Botafogo,23
Palmeiras,23
Internacional,10
Atlético Mineiro,2
